OBJECTID,Shape,NAME,TEL,URL,ADDRESS1,ADDRES2,CITY,ZIP
100,"(40.74765359400004, -73.9973874129999)",The Upright Citizens Brigade Theatre,(212) 366-9176,http://www.ucbtheatre.com/,307 W 26th Street, ,New York,10001
101,"(40.77410217000005, -73.98424386599993)",The Walter Reade Theater at Lincoln Center,(212) 875-5600,http://www.filmlinc.com/wrt/wrt.html,70 Lincoln Center Plaza, ,New York,10023
102,"(40.75467479400004, -73.99403364199992)",The Zipper Theater,(212) 563-0480,http://www.yelp.com/biz/the-zipper-theater-new-york,336 W 37th St, ,New York,10018
103,"(40.72869278100006, -73.98498034699992)",Theater For The New City,(212) 254-1109,http://www.theaterforthenewcity.net/,155 1st Avenue, ,New York,10003
104,"(40.76156669400007, -73.99157114999991)",Theatre @ St. Clement's,(212) 246-7277,http://www.stclementsnyc.org/,423 West 46th Street, ,New York,10036
105,"(40.72762097000009, -73.98575178999994)",Theatre 80 St Marks,(212) 353-3321,http://www.theatermania.com/new-york/theaters/theater-80_3446/,80 Saint Marks Pl, ,New York,10003
106,"(40.75872836900004, -73.99389624299994)",Theatre Row,(212) 714-2442,http://www.theatrerow.org/,410 W 42nd Street, ,New York,10036
107,"(40.72728974700004, -73.98496483499991)",Under St. Marks,(212) 777-6088,http://www.httheater.org/rentersUNDER.html,94 St. Marks Place, ,New York,10009
108,"(40.73624066100007, -73.98874896699994)",Union Square Theater,(212) 505-0700,http://www.nytheatre.com/nytheatre/union.htm,100 E 17th St, ,New York,10003
109,"(40.728455102000055, -74.00022350599994)",Village Theater,(212) 253-0623,http://www.villagetheatre.org/,158 Bleecker St, ,New York,10012
110,"(40.73469974300008, -73.9891891769999)",Vineyard Theatre,(212) 353-3366,http://www.vineyardtheatre.org/,108 E 15th St, ,New York,10003
111,"(40.71931150100005, -74.0035137019999)",Walkerspace Theater,(212) 868-4444,http://www.theateronline.com/venuebook.xzc?PK=238&View=Hist,46 Walker Street, ,New York,10013
112,"(40.75049725400004, -73.9933951889999)",Wamu Theater (formerly Theater At Madison Square Garden),(212) 465-6741,http://www.theateratmsg.com/,4 Penn Plaza, ,New York,10001
113,"(40.75952741600008, -73.99255324099994)",Westside Theater,(212) 315-2244,http://www.westsidetheatre.com/,407 W 43rd St, ,New York,10036
114,"(40.73239903800004, -74.00889256699992)",Wings Theatre,(212) 627-2960,http://www.wingstheatre.com/,154 Christopher St,Bsmt,New York,10014
115,"(40.761524646000055, -73.98348162999991)",Winter Garden Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/winter_garden.asp,1634 Broadway, ,New York,10019
116,"(40.75835722900007, -73.96997885899992)",York Theatre,(212) 935-5820,http://www.yorktheatre.org/,619 Lexington Ave, ,New York,10022
117,"(40.78017563600008, -73.96882480499994)",Delacorte Theater,(212) 861-7277,http://www.centralpark.com/pages/attractions/delacorte-theatre.html,Central Park - Mid-Park at 80th Street,SW corner of the Great Lawn,New York,0
